"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 10:00","2024","07","02","10:00","","M","","M","","M","","M","13","","6","","","","101.51","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 11:00","2024","07","02","11:00","","M","","M","","M","","M","15","","8","","","","101.52","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 12:00","2024","07","02","12:00","","M","","M","","M","","M","13","","7","","","","101.52","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 13:00","2024","07","02","13:00","","M","","M","","M","","M","13","","9","","","","101.50","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 14:00","2024","07","02","14:00","","M","","M","","M","","M","14","","10","","","","101.50","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 15:00","2024","07","02","15:00","","M","","M","","M","","M","17","","12","","","","101.48","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 16:00","2024","07","02","16:00","","M","","M","","M","","M","17","","12","","","","101.49","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 17:00","2024","07","02","17:00","","M","","M","","M","","M","18","","12","","","","101.47","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 18:00","2024","07","02","18:00","","M","","M","","M","","M","17","","15","","","","101.46","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 19:00","2024","07","02","19:00","","M","","M","","M","","M","15","","13","","","","101.40","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 20:00","2024","07","02","20:00","","M","","M","","M","","M","15","","16","","","","101.34","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 21:00","2024","07","02","21:00","","M","","M","","M","","M","14","","19","","","","101.25","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 22:00","2024","07","02","22:00","","M","","M","","M","","M","14","","21","","","","101.20","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 23:00","2024","07","02","23:00","","M","","M","","M","","M","14","","22","","","","101.14","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 00:00","2024","07","03","00:00","","M","","M","","M","","M","14","","24","","","","101.08","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 01:00","2024","07","03","01:00","","M","","M","","M","","M","15","","13","","","","101.02","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 02:00","2024","07","03","02:00","","M","","M","","M","","M","15","","11","","","","100.91","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 03:00","2024","07","03","03:00","","M","","M","","M","","M","16","","15","","","","100.80","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 04:00","2024","07","03","04:00","","M","","M","","M","","M","14","","13","","","","100.70","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 05:00","2024","07","03","05:00","","M","","M","","M","","M","14","","26","","","","100.58","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 06:00","2024","07","03","06:00","","M","","M","","M","","M","14","","19","","","","100.70","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 07:00","2024","07","03","07:00","","M","","M","","M","","M","35","","13","","","","100.75","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 08:00","2024","07","03","08:00","","M","","M","","M","","M","1","","19","","","","100.73","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 09:00","2024","07","03","09:00","","M","","M","","M","","M","27","","3","","","","100.66","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 10:00","2024","07","03","10:00","","M","","M","","M","","M","26","","4","","","","100.64","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 11:00","2024","07","03","11:00","","M","","M","","M","","M","","","0","","","","100.63","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 12:00","2024","07","03","12:00","","M","","M","","M","","M","","","0","","","","100.61","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 13:00","2024","07","03","13:00","","M","","M","","M","","M","","","0","","","","100.59","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 14:00","2024","07","03","14:00","","M","","M","","M","","M","32","","3","","","","100.54","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 15:00","2024","07","03","15:00","","M","","M","","M","","M","34","","13","","","","100.58","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 16:00","2024","07","03","16:00","","M","","M","","M","","M","1","","10","","","","100.52","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 17:00","2024","07","03","17:00","","M","","M","","M","","M","34","","21","","","","100.50","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 18:00","2024","07","03","18:00","","M","","M","","M","","M","26","","13","","","","100.50","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 19:00","2024","07","03","19:00","","M","","M","","M","","M","32","","21","","","","100.50","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 20:00","2024","07","03","20:00","","M","","M","","M","","M","35","","23","","","","100.52","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 21:00","2024","07","03","21:00","","M","","M","","M","","M","36","","17","","","","100.53","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 22:00","2024","07","03","22:00","","M","","M","","M","","M","34","","5","","","","100.56","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-03 23:00","2024","07","03","23:00","","M","","M","","M","","M","34","","10","","","","100.57","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 00:00","2024","07","04","00:00","","M","","M","","M","","M","23","","3","","","","100.58","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 01:00","2024","07","04","01:00","","M","","M","","M","","M","34","","8","","","","100.64","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 02:00","2024","07","04","02:00","","M","","M","","M","","M","36","","13","","","","100.61","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 03:00","2024","07","04","03:00","","M","","M","","M","","M","","","0","","","","100.64","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 04:00","2024","07","04","04:00","","M","","M","","M","","M","34","","3","","","","100.63","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 05:00","2024","07","04","05:00","","M","","M","","M","","M","21","","14","","","","100.59","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 06:00","2024","07","04","06:00","","M","","M","","M","","M","8","","3","","","","100.55","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 07:00","2024","07","04","07:00","","M","","M","","M","","M","21","","5","","","","100.49","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 08:00","2024","07","04","08:00","","M","","M","","M","","M","23","","12","","","","100.50","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 09:00","2024","07","04","09:00","","M","","M","","M","","M","32","","30","","","","100.51","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 10:00","2024","07","04","10:00","","M","","M","","M","","M","34","","50","","","","100.59","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 11:00","2024","07","04","11:00","","M","","M","","M","","M","34","","54","","","","100.63","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 12:00","2024","07","04","12:00","","M","","M","","M","","M","34","","44","","","","100.71","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 13:00","2024","07","04","13:00","","M","","M","","M","","M","34","","37","","","","100.77","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 14:00","2024","07","04","14:00","","M","","M","","M","","M","34","","31","","","","100.83","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 15:00","2024","07","04","15:00","","M","","M","","M","","M","34","","32","","","","100.86","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 16:00","2024","07","04","16:00","","M","","M","","M","","M","34","","23","","","","100.85","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 17:00","2024","07","04","17:00","","M","","M","","M","","M","34","","22","","","","100.85","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 18:00","2024","07","04","18:00","","M","","M","","M","","M","34","","22","","","","100.83","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 19:00","2024","07","04","19:00","","M","","M","","M","","M","35","","24","","","","100.78","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 20:00","2024","07","04","20:00","","M","","M","","M","","M","36","","23","","","","100.73","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 21:00","2024","07","04","21:00","","M","","M","","M","","M","36","","18","","","","100.71","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 22:00","2024","07","04","22:00","","M","","M","","M","","M","35","","15","","","","100.71","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-04 23:00","2024","07","04","23:00","","M","","M","","M","","M","36","","29","","","","100.66","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 00:00","2024","07","05","00:00","","M","","M","","M","","M","36","","29","","","","100.66","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 01:00","2024","07","05","01:00","","M","","M","","M","","M","36","","23","","","","100.65","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 02:00","2024","07","05","02:00","","M","","M","","M","","M","36","","20","","","","100.62","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 03:00","2024","07","05","03:00","","M","","M","","M","","M","2","","23","","","","100.54","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 04:00","2024","07","05","04:00","","M","","M","","M","","M","36","","3","","","","100.58","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 05:00","2024","07","05","05:00","","M","","M","","M","","M","29","","13","","","","100.54","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 06:00","2024","07","05","06:00","","M","","M","","M","","M","35","","10","","","","100.50","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 07:00","2024","07","05","07:00","","M","","M","","M","","M","36","","10","","","","100.48","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 08:00","2024","07","05","08:00","","M","","M","","M","","M","36","","15","","","","100.47","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 09:00","2024","07","05","09:00","","M","","M","","M","","M","36","","17","","","","100.47","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 10:00","2024","07","05","10:00","","M","","M","","M","","M","1","","21","","","","100.44","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 11:00","2024","07","05","11:00","","M","","M","","M","","M","1","","17","","","","100.45","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 12:00","2024","07","05","12:00","","M","","M","","M","","M","1","","16","","","","100.48","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 13:00","2024","07","05","13:00","","M","","M","","M","","M","2","","12","","","","100.50","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 14:00","2024","07","05","14:00","","M","","M","","M","","M","36","","15","","","","100.52","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 15:00","2024","07","05","15:00","","M","","M","","M","","M","36","","13","","","","100.53","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 16:00","2024","07","05","16:00","","M","","M","","M","","M","1","","16","","","","100.55","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 17:00","2024","07","05","17:00","","M","","M","","M","","M","36","","25","","","","100.58","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 18:00","2024","07","05","18:00","","M","","M","","M","","M","36","","22","","","","100.64","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 19:00","2024","07","05","19:00","","M","","M","","M","","M","36","","20","","","","100.70","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 20:00","2024","07","05","20:00","","M","","M","","M","","M","1","","26","","","","100.73","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 21:00","2024","07","05","21:00","","M","","M","","M","","M","1","","30","","","","100.77","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 22:00","2024","07","05","22:00","","M","","M","","M","","M","36","","23","","","","100.82","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-05 23:00","2024","07","05","23:00","","M","","M","","M","","M","2","","21","","","","100.88","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 00:00","2024","07","06","00:00","","M","","M","","M","","M","1","","17","","","","100.89","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 01:00","2024","07","06","01:00","","M","","M","","M","","M","6","","10","","","","100.94","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 02:00","2024","07","06","02:00","","M","","M","","M","","M","8","","15","","","","100.92","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 03:00","2024","07","06","03:00","","M","","M","","M","","M","16","","13","","","","100.94","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 04:00","2024","07","06","04:00","","M","","M","","M","","M","16","","13","","","","100.91","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 05:00","2024","07","06","05:00","","M","","M","","M","","M","15","","8","","","","100.88","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 06:00","2024","07","06","06:00","","M","","M","","M","","M","15","","13","","","","100.84","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 07:00","2024","07","06","07:00","","M","","M","","M","","M","15","","16","","","","100.82","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 08:00","2024","07","06","08:00","","M","","M","","M","","M","15","","17","","","","100.78","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 09:00","2024","07","06","09:00","","M","","M","","M","","M","16","","17","","","","100.71","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 10:00","2024","07","06","10:00","","M","","M","","M","","M","14","","17","","","","100.68","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 11:00","2024","07","06","11:00","","M","","M","","M","","M","14","","21","","","","100.65","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 12:00","2024","07","06","12:00","","M","","M","","M","","M","14","","23","","","","100.62","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 13:00","2024","07","06","13:00","","M","","M","","M","","M","14","","26","","","","100.60","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 14:00","2024","07","06","14:00","","M","","M","","M","","M","15","","21","","","","100.58","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 15:00","2024","07","06","15:00","","M","","M","","M","","M","15","","25","","","","100.53","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 16:00","2024","07","06","16:00","","M","","M","","M","","M","15","","24","","","","100.51","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 17:00","2024","07","06","17:00","","M","","M","","M","","M","16","","18","","","","100.46","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 18:00","2024","07","06","18:00","","M","","M","","M","","M","16","","15","","","","100.43","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 19:00","2024","07","06","19:00","","M","","M","","M","","M","16","","13","","","","100.39","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 20:00","2024","07","06","20:00","","M","","M","","M","","M","15","","20","","","","100.34","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 21:00","2024","07","06","21:00","","M","","M","","M","","M","15","","22","","","","100.32","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 22:00","2024","07","06","22:00","","M","","M","","M","","M","15","","23","","","","100.22","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-06 23:00","2024","07","06","23:00","","M","","M","","M","","M","15","","23","","","","100.13","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 00:00","2024","07","07","00:00","","M","","M","","M","","M","15","","26","","","","100.03","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 01:00","2024","07","07","01:00","","M","","M","","M","","M","14","","37","","","","99.87","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 02:00","2024","07","07","02:00","","M","","M","","M","","M","15","","31","","","","99.74","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 03:00","2024","07","07","03:00","","M","","M","","M","","M","13","","10","","","","99.62","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 04:00","2024","07","07","04:00","","M","","M","","M","","M","34","","7","","","","99.54","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 05:00","2024","07","07","05:00","","M","","M","","M","","M","20","","3","","","","99.47","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 06:00","2024","07","07","06:00","","M","","M","","M","","M","32","","34","","","","99.63","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 07:00","2024","07","07","07:00","","M","","M","","M","","M","33","","79","","","","99.79","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 08:00","2024","07","07","08:00","","M","","M","","M","","M","32","","82","","","","100.06","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 09:00","2024","07","07","09:00","","M","","M","","M","","M","33","","71","","","","100.23","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 10:00","2024","07","07","10:00","","M","","M","","M","","M","33","","69","","","","100.38","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 11:00","2024","07","07","11:00","","M","","M","","M","","M","33","","64","","","","100.53","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 12:00","2024","07","07","12:00","","M","","M","","M","","M","33","","60","","","","100.66","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 13:00","2024","07","07","13:00","","M","","M","","M","","M","34","","50","","","","100.81","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 14:00","2024","07","07","14:00","","M","","M","","M","","M","33","","46","","","","100.90","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 15:00","2024","07","07","15:00","","M","","M","","M","","M","33","","43","","","","101.00","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 16:00","2024","07","07","16:00","","M","","M","","M","","M","33","","65","","","","100.92","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 17:00","2024","07","07","17:00","","M","","M","","M","","M","33","","55","","","","100.99","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 18:00","2024","07","07","18:00","","M","","M","","M","","M","33","","58","","","","101.02","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-07 19:00","2024","07","07","19:00","","M","","M","","M","","M","33","","51","","","","101.11","","","","","","NA"
