year,spec.code,species,total.count,rel.abundance.total,total.scaled,logistic.id.total,rel.abundance.scaled,logistic.id.scaled,guild,guild2,observers,sampling.effort,effort.multiplier,sampling.time,num.observers,notes,survey.id,period,start.time,end.time,time,date.ymd,doy,day,month
1991,COEI,Common Eider,24,0.42105263157894735,251.29411764705884,low,0.5983193277310925,high,waterbird,duck,LeeJohn Meyook,92,10.470588235294118,92,1,sitting on ice,20-Jun-91_LATE_2,LATE,10:22:00,11:54:00,11:20:00,1991-06-20,171,20,6
1991,GLGU,Glaucous Gull,4,0.3076923076923077,41.88235294117647,low,0.3510848126232741,low,waterbird,gull,LeeJohn Meyook,92,10.470588235294118,92,1,on route,20-Jun-91_LATE_2,LATE,10:22:00,11:54:00,11:25:00,1991-06-20,171,20,6
1991,GWFG,Greater White-fronted Goose,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,LALO,Lapland Longspur,38,1,397.88235294117646,high,0.9535714285714285,high,passerine,passerine,LeeJohn Meyook,92,10.470588235294118,92,1,"weather: Clear, no wind, 12 degrees",20-Jun-91_LATE_2,LATE,10:22:00,11:54:00,10:25:00,1991-06-20,171,20,6
1991,LTJA,Long-tailed Jaeger,0,0,0,low,0,low,birdofprey,gull,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NOPI,Northern Pintail,2,0.0392156862745098,20.941176470588236,low,0.05539993775287893,low,waterbird,duck,LeeJohn Meyook,92,10.470588235294118,92,1,on small pond,20-Jun-91_LATE_2,LATE,10:22:00,11:54:00,11:27:00,1991-06-20,171,20,6
1991,REDP,Redpoll,4,0.2,41.88235294117647,low,0.21619433198380564,low,passerine,passerine,LeeJohn Meyook,92,10.470588235294118,92,1,on route,20-Jun-91_LATE_2,LATE,10:22:00,11:54:00,10:30:00,1991-06-20,171,20,6
1991,RTLO,Red-throated Loon,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,SAVS,Savannah Sparrow,9,0.47368421052631576,94.23529411764706,low,0.5680851063829787,high,passerine,passerine,LeeJohn Meyook,92,10.470588235294118,92,1,on route,20-Jun-91_LATE_2,LATE,10:22:00,11:54:00,10:48:00,1991-06-20,171,20,6
1991,SEPL,Semipalmated Plover,0,0,0,low,0,low,shorebird,shorebird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,SESA,Semipalmated Sandpiper,10,0.2631578947368421,104.70588235294117,low,0.26023391812865493,low,shorebird,shorebird,LeeJohn Meyook,92,10.470588235294118,92,1,on route,20-Jun-91_LATE_2,LATE,10:22:00,11:54:00,10:31:00,1991-06-20,171,20,6
1991,SNBU,Snow Bunting,3,0.1875,31.411764705882355,low,0.3575892857142857,low,passerine,passerine,LeeJohn Meyook,92,10.470588235294118,92,1,on route,20-Jun-91_LATE_2,LATE,10:22:00,11:54:00,10:28:00,1991-06-20,171,20,6
1992,BASA,Baird's Sandpiper,2,0.14285714285714285,21.176470588235297,low,0.16483516483516483,low,shorebird,shorebird,LeeJohn Meyook,86,10.588235294117649,86,1,,28-Jun-92_LATE_1,LATE,14:49:00,16:15:00,15:41:00,1992-06-28,180,28,6
1992,BLGU,Black Guillemot,0,0,0,low,0,low,waterbird,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,COEI,Common Eider,13,0.22807017543859648,137.64705882352942,low,0.3277310924369748,low,waterbird,duck,LeeJohn Meyook,86,10.588235294117649,86,1,,28-Jun-92_LATE_1,LATE,14:49:00,16:15:00,15:44:00,1992-06-28,180,28,6
1992,GLGU,Glaucous Gull,5,0.38461538461538464,52.941176470588246,low,0.44378698224852076,low,waterbird,gull,LeeJohn Meyook,86,10.588235294117649,86,1,,28-Jun-92_LATE_1,LATE,14:49:00,16:15:00,15:55:00,1992-06-28,180,28,6
1992,GWFG,Greater White-fronted Goose,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,LALO,Lapland Longspur,26,0.6842105263157895,275.29411764705884,high,0.6597744360902256,high,passerine,passerine,LeeJohn Meyook,86,10.588235294117649,86,1,,28-Jun-92_LATE_1,LATE,14:49:00,16:15:00,14:52:00,1992-06-28,180,28,6
1992,LTJA,Long-tailed Jaeger,5,0.625,52.941176470588246,high,0.6915983606557379,high,birdofprey,gull,LeeJohn Meyook,86,10.588235294117649,86,1,,28-Jun-92_LATE_1,LATE,14:49:00,16:15:00,15:21:00,1992-06-28,180,28,6
1992,NOPI,Northern Pintail,2,0.0392156862745098,21.176470588235297,low,0.05602240896358544,low,waterbird,duck,LeeJohn Meyook,86,10.588235294117649,86,1,,28-Jun-92_LATE_1,LATE,14:49:00,16:15:00,15:47:00,1992-06-28,180,28,6
1992,REDP,Redpoll,4,0.2,42.352941176470594,low,0.21862348178137653,low,passerine,passerine,LeeJohn Meyook,86,10.588235294117649,86,1,flying,28-Jun-92_LATE_1,LATE,14:49:00,16:15:00,15:02:00,1992-06-28,180,28,6
1992,RTLO,Red-throated Loon,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,SAVS,Savannah Sparrow,1,0.05263157894736842,10.588235294117649,low,0.06382978723404256,low,passerine,passerine,LeeJohn Meyook,86,10.588235294117649,86,1,,28-Jun-92_LATE_1,LATE,14:49:00,16:15:00,15:25:00,1992-06-28,180,28,6
1992,SEPL,Semipalmated Plover,4,0.13793103448275862,42.352941176470594,low,0.1391304347826087,low,shorebird,shorebird,LeeJohn Meyook,86,10.588235294117649,86,1,,28-Jun-92_LATE_1,LATE,14:49:00,16:15:00,14:56:00,1992-06-28,180,28,6
1992,SESA,Semipalmated Sandpiper,38,1,402.35294117647067,high,1,high,shorebird,shorebird,LeeJohn Meyook,86,10.588235294117649,86,1,,28-Jun-92_LATE_1,LATE,14:49:00,16:15:00,14:55:00,1992-06-28,180,28,6
1992,SNBU,Snow Bunting,2,0.125,21.176470588235297,low,0.2410714285714286,low,passerine,passerine,LeeJohn Meyook,86,10.588235294117649,86,1,"Clear, East wind at 10, Visibility 10, +18",28-Jun-92_LATE_1,LATE,14:49:00,16:15:00,14:51:00,1992-06-28,180,28,6
1993,BASA,Baird's Sandpiper,5,0.35714285714285715,37.84313725490196,low,0.2945665445665445,low,shorebird,shorebird,"Richard Gordon, Marlene Bailey",240,7.568627450980393,120,2,,13-Aug-93_FALL_1,LATE,11:35:00,13:35:00,11:35:00,1993-08-13,225,13,8
1993,BLGU,Black Guillemot,0,0,0,low,0,low,waterbird,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,COEI,Common Eider,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,GLGU,Glaucous Gull,2,0.15384615384615385,15.137254901960786,low,0.12689020381328073,low,waterbird,gull,"Richard Gordon, Marlene Bailey",240,7.568627450980393,120,2,,13-Aug-93_FALL_1,LATE,11:35:00,13:35:00,NA,1993-08-13,225,13,8
1993,GWFG,Greater White-fronted Goose,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,LALO,Lapland Longspur,8,0.21052631578947367,60.54901960784314,low,0.14511278195488722,low,passerine,passerine,"Richard Gordon, Marlene Bailey",240,7.568627450980393,120,2,,13-Aug-93_FALL_1,LATE,11:35:00,13:35:00,11:35:00,1993-08-13,225,13,8
1993,LTJA,Long-tailed Jaeger,3,0.375,22.705882352941178,low,0.2966188524590164,low,birdofprey,gull,"Richard Gordon, Marlene Bailey",240,7.568627450980393,120,2,,13-Aug-93_FALL_1,LATE,11:35:00,13:35:00,11:55:00,1993-08-13,225,13,8
1993,NOPI,Northern Pintail,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,REDP,Redpoll,1,0.05,7.568627450980393,low,0.03906882591093117,low,passerine,passerine,"Richard Gordon, Marlene Bailey",240,7.568627450980393,120,2,,13-Aug-93_FALL_1,LATE,11:35:00,13:35:00,11:55:00,1993-08-13,225,13,8
1993,RTLO,Red-throated Loon,4,0.4,30.27450980392157,low,0.5269624573378839,high,waterbird,duck,"Richard Gordon, Marlene Bailey",240,7.568627450980393,120,2,,13-Aug-93_FALL_1,LATE,11:35:00,13:35:00,11:55:00,1993-08-13,225,13,8
1993,SAVS,Savannah Sparrow,0,0,0,low,0,low,passerine,passerine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,SEPL,Semipalmated Plover,29,1,219.49019607843138,high,0.7210305958132045,high,shorebird,shorebird,"Richard Gordon, Marlene Bailey",240,7.568627450980393,120,2,,13-Aug-93_FALL_1,LATE,11:35:00,13:35:00,11:35:00,1993-08-13,225,13,8
1993,SESA,Semipalmated Sandpiper,0,0,0,low,0,low,shorebird,shorebird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,SNBU,Snow Bunting,10,0.625,75.68627450980392,high,0.8616071428571429,high,passerine,passerine,"Richard Gordon, Marlene Bailey",240,7.568627450980393,120,2,,13-Aug-93_FALL_1,LATE,11:35:00,13:35:00,11:35:00,1993-08-13,225,13,8
1994,BASA,Baird's Sandpiper,0,0,0,low,0,low,shorebird,shorebird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,BLGU,Black Guillemot,0,0,0,low,0,low,waterbird,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,COEI,Common Eider,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,GLGU,Glaucous Gull,1,0.07692307692307693,9.372549019607845,low,0.07856673241288627,low,waterbird,gull,"Frank Elanik, Richard Gordon",148,9.372549019607845,74,2,along run off,03-Jun-94_EARLY_1,EARLY,15:00:00,16:14:00,15:03:00,1994-06-03,154,3,6
1994,GWFG,Greater White-fronted Goose,2,0.14285714285714285,18.74509803921569,low,0.174198250728863,low,waterbird,duck,"Frank Elanik, Richard Gordon",148,9.372549019607845,74,2,,03-Jun-94_EARLY_1,EARLY,15:00:00,16:14:00,15:07:00,1994-06-03,154,3,6
1994,LALO,Lapland Longspur,22,0.5789473684210527,206.1960784313726,high,0.4941729323308272,low,passerine,passerine,"Frank Elanik, Richard Gordon",148,9.372549019607845,74,2,pair,03-Jun-94_EARLY_1,EARLY,15:00:00,16:14:00,15:00:00,1994-06-03,154,3,6
1994,LTJA,Long-tailed Jaeger,0,0,0,low,0,low,birdofprey,gull,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NOPI,Northern Pintail,7,0.13725490196078433,65.60784313725492,low,0.17356572258533046,low,waterbird,duck,"Frank Elanik, Richard Gordon",148,9.372549019607845,74,2,"pair, feeding",03-Jun-94_EARLY_1,EARLY,15:00:00,16:14:00,15:02:00,1994-06-03,154,3,6
1994,REDP,Redpoll,2,0.1,18.74509803921569,low,0.09676113360323887,low,passerine,passerine,"Frank Elanik, Richard Gordon",148,9.372549019607845,74,2,,03-Jun-94_EARLY_1,EARLY,15:00:00,16:14:00,16:08:00,1994-06-03,154,3,6
1994,RTLO,Red-throated Loon,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,SAVS,Savannah Sparrow,0,0,0,low,0,low,passerine,passerine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,SEPL,Semipalmated Plover,17,0.5862068965517241,159.33333333333337,high,0.5234138486312401,high,shorebird,shorebird,"Frank Elanik, Richard Gordon",148,9.372549019607845,74,2,,03-Jun-94_EARLY_1,EARLY,15:00:00,16:14:00,15:05:00,1994-06-03,154,3,6
1994,SESA,Semipalmated Sandpiper,21,0.5526315789473685,196.82352941176475,high,0.4891812865497076,low,shorebird,shorebird,"Frank Elanik, Richard Gordon",148,9.372549019607845,74,2,,03-Jun-94_EARLY_1,EARLY,15:00:00,16:14:00,15:04:00,1994-06-03,154,3,6
1994,SNBU,Snow Bunting,6,0.375,56.23529411764707,low,0.6401785714285716,high,passerine,passerine,"Frank Elanik, Richard Gordon",148,9.372549019607845,74,2,,03-Jun-94_EARLY_1,EARLY,15:00:00,16:14:00,15:11:00,1994-06-03,154,3,6
1995,BASA,Baird's Sandpiper,5,0.35714285714285715,41.37254901960784,low,0.32203907203907195,low,shorebird,shorebird,"LeeJohn Meyook, Colin Gordon",204,8.274509803921568,102,2,on route,03-Jun-95_EARLY_1,EARLY,16:22:00,18:04:00,16:48:00,1995-06-03,154,3,6
1995,BLGU,Black Guillemot,1,0.02702702702702703,8.274509803921568,low,0.021358437088774163,low,waterbird,other,"LeeJohn Meyook, Colin Gordon",204,8.274509803921568,102,2,,03-Jun-95_EARLY_1,EARLY,16:22:00,18:04:00,16:29:00,1995-06-03,154,3,6
1995,COEI,Common Eider,10,0.17543859649122806,82.74509803921568,low,0.19701213818860874,low,waterbird,duck,"LeeJohn Meyook, Colin Gordon",204,8.274509803921568,102,2,resting,03-Jun-95_EARLY_1,EARLY,16:22:00,18:04:00,16:26:00,1995-06-03,154,3,6
1995,GLGU,Glaucous Gull,4,0.3076923076923077,33.09803921568627,low,0.27744904667981585,low,waterbird,gull,"LeeJohn Meyook, Colin Gordon",204,8.274509803921568,102,2,,03-Jun-95_EARLY_1,EARLY,16:22:00,18:04:00,17:11:00,1995-06-03,154,3,6
1995,GWFG,Greater White-fronted Goose,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,LALO,Lapland Longspur,12,0.3157894736842105,99.29411764705881,low,0.23796992481203005,low,passerine,passerine,"LeeJohn Meyook, Colin Gordon",204,8.274509803921568,102,2,sitting on stump singing,03-Jun-95_EARLY_1,EARLY,16:22:00,18:04:00,16:27:00,1995-06-03,154,3,6
1995,LTJA,Long-tailed Jaeger,0,0,0,low,0,low,birdofprey,gull,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NOPI,Northern Pintail,2,0.0392156862745098,16.549019607843135,low,0.04378047515302417,low,waterbird,duck,"LeeJohn Meyook, Colin Gordon",204,8.274509803921568,102,2,,03-Jun-95_EARLY_1,EARLY,16:22:00,18:04:00,17:25:00,1995-06-03,154,3,6
1995,REDP,Redpoll,0,0,0,low,0,low,passerine,passerine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,RTLO,Red-throated Loon,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,SAVS,Savannah Sparrow,3,0.15789473684210525,24.823529411764703,low,0.14964539007092198,low,passerine,passerine,"LeeJohn Meyook, Colin Gordon",204,8.274509803921568,102,2,,03-Jun-95_EARLY_1,EARLY,16:22:00,18:04:00,17:03:00,1995-06-03,154,3,6
1995,SEPL,Semipalmated Plover,0,0,0,low,0,low,shorebird,shorebird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,SESA,Semipalmated Sandpiper,0,0,0,low,0,low,shorebird,shorebird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,SNBU,Snow Bunting,2,0.125,16.549019607843135,low,0.1883928571428571,low,passerine,passerine,"LeeJohn Meyook, Colin Gordon",204,8.274509803921568,102,2,,03-Jun-95_EARLY_1,EARLY,16:22:00,18:04:00,16:34:00,1995-06-03,154,3,6
1996,BASA,Baird's Sandpiper,4,0.2857142857142857,31.058823529411768,low,0.24175824175824173,low,shorebird,shorebird,"LeeJohn Meyook, Richard Gordon",230,7.764705882352942,115,2,feeding by shoreline,09-Jun-96_EARLY_2,EARLY,14:10:00,16:05:00,15:33:00,1996-06-09,161,9,6
1996,BLGU,Black Guillemot,2,0.05405405405405406,15.529411764705884,low,0.04008502884907379,low,waterbird,other,"LeeJohn Meyook, Richard Gordon",230,7.764705882352942,115,2,breeding by creek along cove,09-Jun-96_EARLY_2,EARLY,14:10:00,16:05:00,15:40:00,1996-06-09,161,9,6
1996,COEI,Common Eider,6,0.10526315789473684,46.58823529411765,low,0.11092436974789917,low,waterbird,duck,"LeeJohn Meyook, Richard Gordon",230,7.764705882352942,115,2,"3 male, 3 female sitting on ice",09-Jun-96_EARLY_2,EARLY,14:10:00,16:05:00,15:31:00,1996-06-09,161,9,6
1996,GLGU,Glaucous Gull,5,0.38461538461538464,42.74509803921569,low,0.3583168967784352,low,waterbird,gull,"LeeJohn Meyook, Richard Gordon",190,8.549019607843139,95,2,by tin warehouses overhead,01-Jul-96_LATE_3,LATE,14:30:00,16:05:00,15:56:00,1996-07-01,183,1,7
1996,GWFG,Greater White-fronted Goose,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,LALO,Lapland Longspur,18,0.47368421052631576,139.76470588235296,low,0.33496240601503763,low,passerine,passerine,"LeeJohn Meyook, Richard Gordon",230,7.764705882352942,115,2,by beach,09-Jun-96_EARLY_2,EARLY,14:10:00,16:05:00,14:50:00,1996-06-09,161,9,6
1996,LTJA,Long-tailed Jaeger,4,0.5,34.196078431372555,low,0.44672131147540994,low,birdofprey,gull,"LeeJohn Meyook, Richard Gordon",190,8.549019607843139,95,2,"1 sitting on nest, 1 feeding on a lemming",01-Jul-96_LATE_3,LATE,14:30:00,16:05:00,14:58:00,1996-07-01,183,1,7
1996,NOPI,Northern Pintail,14,0.27450980392156865,119.68627450980395,low,0.3166303558460422,low,waterbird,duck,"LeeJohn Meyook, Richard Gordon",190,8.549019607843139,95,2,grass above large pond,01-Jul-96_LATE_3,LATE,14:30:00,16:05:00,14:50:00,1996-07-01,183,1,7
1996,REDP,Redpoll,8,0.4,62.117647058823536,low,0.32064777327935223,low,passerine,passerine,"LeeJohn Meyook, Richard Gordon",230,7.764705882352942,115,2,sitting on bush,09-Jun-96_EARLY_2,EARLY,14:10:00,16:05:00,15:04:00,1996-06-09,161,9,6
1996,RTLO,Red-throated Loon,2,0.2,15.529411764705884,low,0.2703071672354949,low,waterbird,duck,"LeeJohn Meyook, Richard Gordon",230,7.764705882352942,115,2,pond by nest,09-Jun-96_EARLY_2,EARLY,14:10:00,16:05:00,14:46:00,1996-06-09,161,9,6
1996,SAVS,Savannah Sparrow,0,0,0,low,0,low,passerine,passerine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,SEPL,Semipalmated Plover,0,0,0,low,0,low,shorebird,shorebird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,SESA,Semipalmated Sandpiper,12,0.3157894736842105,93.1764705882353,low,0.23157894736842102,low,shorebird,shorebird,"LeeJohn Meyook, Richard Gordon",230,7.764705882352942,115,2,feeding by Mission House,09-Jun-96_EARLY_2,EARLY,14:10:00,16:05:00,14:10:00,1996-06-09,161,9,6
1996,SNBU,Snow Bunting,5,0.3125,42.74509803921569,low,0.4866071428571429,low,passerine,passerine,"LeeJohn Meyook, Richard Gordon",190,8.549019607843139,95,2,feeding in grass,01-Jul-96_LATE_3,LATE,14:30:00,16:05:00,14:31:00,1996-07-01,183,1,7
1997,BASA,Baird's Sandpiper,0,0,0,low,0,low,shorebird,shorebird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,BLGU,Black Guillemot,17,0.4594594594594595,120.66666666666667,low,0.31146877214292945,low,waterbird,other,"Colin Gordon, Richard Gordon",264,7.098039215686275,132,2,"perched on log, singing",30-Jun-97_LATE_2,LATE,10:27:00,12:39:00,10:40:00,1997-06-30,181,30,6
1997,COEI,Common Eider,30,0.5263157894736842,212.94117647058826,high,0.5070028011204483,high,waterbird,duck,"Colin Gordon, Richard Gordon",264,7.098039215686275,132,2,spooked 4 eggs,30-Jun-97_LATE_2,LATE,10:27:00,12:39:00,11:17:00,1997-06-30,181,30,6
1997,GLGU,Glaucous Gull,11,0.8461538461538461,78.07843137254902,high,0.6545036160420775,high,waterbird,gull,"Colin Gordon, Richard Gordon",264,7.098039215686275,132,2,,30-Jun-97_LATE_2,LATE,10:27:00,12:39:00,11:01:00,1997-06-30,181,30,6
1997,GWFG,Greater White-fronted Goose,5,0.35714285714285715,48.03921568627452,low,0.44642857142857145,low,waterbird,duck,"Frank Elanik, LeeJohn Meyook",136,9.607843137254903,68,2,"feeding, pond",10-Jun-97_EARLY_1,EARLY,12:53:00,14:01:00,13:02:00,1997-06-10,161,10,6
1997,LALO,Lapland Longspur,9,0.23684210526315788,86.47058823529413,low,0.2072368421052632,low,passerine,passerine,"Frank Elanik, LeeJohn Meyook",136,9.607843137254903,68,2,,10-Jun-97_EARLY_1,EARLY,12:53:00,14:01:00,13:01:00,1997-06-10,161,10,6
1997,LTJA,Long-tailed Jaeger,6,0.75,42.58823529411765,high,0.5563524590163935,high,birdofprey,gull,"Colin Gordon, Richard Gordon",264,7.098039215686275,132,2,,30-Jun-97_LATE_2,LATE,10:27:00,12:39:00,10:57:00,1997-06-30,181,30,6
1997,NOPI,Northern Pintail,7,0.13725490196078433,67.25490196078432,low,0.177923021060276,low,waterbird,duck,"Frank Elanik, LeeJohn Meyook",136,9.607843137254903,68,2,"3 male, 2 female",10-Jun-97_EARLY_1,EARLY,12:53:00,14:01:00,13:02:00,1997-06-10,161,10,6
1997,REDP,Redpoll,1,0.05,9.607843137254903,low,0.04959514170040486,low,passerine,passerine,"Frank Elanik, LeeJohn Meyook",136,9.607843137254903,68,2,"to far to ID, maybe Common Redpoll",10-Jun-97_EARLY_1,EARLY,12:53:00,14:01:00,13:16:00,1997-06-10,161,10,6
1997,RTLO,Red-throated Loon,4,0.4,28.3921568627451,low,0.49419795221843005,low,waterbird,duck,"Colin Gordon, Richard Gordon",264,7.098039215686275,132,2,,30-Jun-97_LATE_2,LATE,10:27:00,12:39:00,10:41:00,1997-06-30,181,30,6
1997,SAVS,Savannah Sparrow,2,0.10526315789473684,14.19607843137255,low,0.0855791962174941,low,passerine,passerine,"Colin Gordon, Richard Gordon",264,7.098039215686275,132,2,"flying, singing",30-Jun-97_LATE_2,LATE,10:27:00,12:39:00,10:56:00,1997-06-30,181,30,6
1997,SEPL,Semipalmated Plover,0,0,0,low,0,low,shorebird,shorebird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,SESA,Semipalmated Sandpiper,25,0.6578947368421053,177.45098039215688,high,0.4410331384015594,low,shorebird,shorebird,"Colin Gordon, Richard Gordon",264,7.098039215686275,132,2,,30-Jun-97_LATE_2,LATE,10:27:00,12:39:00,10:45:00,1997-06-30,181,30,6
1997,SNBU,Snow Bunting,8,0.5,56.7843137254902,low,0.6464285714285715,high,passerine,passerine,"Colin Gordon, Richard Gordon",264,7.098039215686275,132,2,"perched on log, singing",30-Jun-97_LATE_2,LATE,10:27:00,12:39:00,10:39:00,1997-06-30,181,30,6
