"observation.id","survey.id","date.ymd","doy","species","spec.code","guild","total","time","sampling.time","num.observers","sampling.effort","effort.multiplier","breed","behaviour","notes","observers","guild2","date","period","year","month","day","survey.num","transect","start.time","end.time","rec.num","end.time.filled","transect.id"
11,"12-Jun-90_EARLY_1",1990-06-12,163,"Snow Bunting","SNBU","passerine",2,10:04:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,855,FALSE,"12-Jun-90_EARLY_1_1"
12,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:05:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,295,FALSE,"12-Jun-90_EARLY_1_1"
13,"12-Jun-90_EARLY_1",1990-06-12,163,"Semipalmated Sandpiper","SESA","shorebird",1,10:05:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,782,FALSE,"12-Jun-90_EARLY_1_1"
14,"12-Jun-90_EARLY_1",1990-06-12,163,"Semipalmated Sandpiper","SESA","shorebird",1,10:06:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,783,FALSE,"12-Jun-90_EARLY_1_1"
15,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",2,10:07:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,296,FALSE,"12-Jun-90_EARLY_1_1"
16,"12-Jun-90_EARLY_1",1990-06-12,163,"Red-necked Phalarope","RNPL","shorebird",3,10:08:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,656,FALSE,"12-Jun-90_EARLY_1_1"
17,"12-Jun-90_EARLY_1",1990-06-12,163,"Semipalmated Sandpiper","SESA","shorebird",1,10:09:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,784,FALSE,"12-Jun-90_EARLY_1_1"
18,"12-Jun-90_EARLY_1",1990-06-12,163,"Snow Bunting","SNBU","passerine",1,10:10:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,856,FALSE,"12-Jun-90_EARLY_1_1"
19,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:11:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,297,FALSE,"12-Jun-90_EARLY_1_1"
20,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:11:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,298,FALSE,"12-Jun-90_EARLY_1_1"
21,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:11:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,299,FALSE,"12-Jun-90_EARLY_1_1"
22,"12-Jun-90_EARLY_1",1990-06-12,163,"Semipalmated Sandpiper","SESA","shorebird",1,10:11:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,785,FALSE,"12-Jun-90_EARLY_1_1"
23,"12-Jun-90_EARLY_1",1990-06-12,163,"Snow Bunting","SNBU","passerine",1,10:11:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,857,FALSE,"12-Jun-90_EARLY_1_1"
24,"12-Jun-90_EARLY_1",1990-06-12,163,"Brant","BRAN","waterbird",2,10:13:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,74,FALSE,"12-Jun-90_EARLY_1_1"
25,"12-Jun-90_EARLY_1",1990-06-12,163,"ptarmigan sp.","PTAR",NA,2,10:13:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","other","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,983,FALSE,"12-Jun-90_EARLY_1_1"
26,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,09:56:00,66,2,132,23.15,"","displaying","0 visibility, W09 @ 5 knots","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,289,FALSE,"12-Jun-90_EARLY_1_1"
27,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,09:58:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,290,FALSE,"12-Jun-90_EARLY_1_1"
28,"12-Jun-90_EARLY_1",1990-06-12,163,"Semipalmated Sandpiper","SESA","shorebird",2,09:58:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,780,FALSE,"12-Jun-90_EARLY_1_1"
29,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,09:59:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,291,FALSE,"12-Jun-90_EARLY_1_1"
30,"12-Jun-90_EARLY_1",1990-06-12,163,"Semipalmated Sandpiper","SESA","shorebird",1,10:20:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,810,FALSE,"12-Jun-90_EARLY_1_2"
31,"12-Jun-90_EARLY_1",1990-06-12,163,"Semipalmated Sandpiper","SESA","shorebird",1,10:21:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,811,FALSE,"12-Jun-90_EARLY_1_2"
32,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:24:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,377,FALSE,"12-Jun-90_EARLY_1_2"
33,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:25:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,378,FALSE,"12-Jun-90_EARLY_1_2"
34,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:26:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,379,FALSE,"12-Jun-90_EARLY_1_2"
35,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:27:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,380,FALSE,"12-Jun-90_EARLY_1_2"
36,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:28:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,381,FALSE,"12-Jun-90_EARLY_1_2"
37,"12-Jun-90_EARLY_1",1990-06-12,163,"ptarmigan sp.","PTAR",NA,1,10:28:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","other","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,1000,FALSE,"12-Jun-90_EARLY_1_2"
38,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:29:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,382,FALSE,"12-Jun-90_EARLY_1_2"
39,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:31:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,383,FALSE,"12-Jun-90_EARLY_1_2"
40,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:34:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,384,FALSE,"12-Jun-90_EARLY_1_2"
41,"12-Jun-90_EARLY_1",1990-06-12,163,"ptarmigan sp.","PTAR",NA,3,10:34:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","other","12-Jun-90","EARLY",1990,6,12,1,2,09:55:00,11:01:00,1001,FALSE,"12-Jun-90_EARLY_1_2"
42,"12-Jun-90_EARLY_1",1990-06-12,163,"Common Eider","COEI","waterbird",9,10:37:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,1014,TRUE,"12-Jun-90_EARLY_1_3"
43,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:38:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,463,TRUE,"12-Jun-90_EARLY_1_3"
44,"12-Jun-90_EARLY_1",1990-06-12,163,"Long-tailed Jaeger","LTJA","birdofprey",1,10:39:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","gull","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,563,TRUE,"12-Jun-90_EARLY_1_3"
45,"12-Jun-90_EARLY_1",1990-06-12,163,"Northern Pintail","NOPI","waterbird",2,10:45:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,608,TRUE,"12-Jun-90_EARLY_1_3"
46,"12-Jun-90_EARLY_1",1990-06-12,163,"Semipalmated Sandpiper","SESA","shorebird",2,10:45:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,822,TRUE,"12-Jun-90_EARLY_1_3"
47,"12-Jun-90_EARLY_1",1990-06-12,163,"Common Eider","COEI","waterbird",12,10:46:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,1015,TRUE,"12-Jun-90_EARLY_1_3"
48,"12-Jun-90_EARLY_1",1990-06-12,163,"Red-necked Phalarope","RNPL","shorebird",1,10:46:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,666,TRUE,"12-Jun-90_EARLY_1_3"
49,"12-Jun-90_EARLY_1",1990-06-12,163,"Semipalmated Sandpiper","SESA","shorebird",1,10:46:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,823,TRUE,"12-Jun-90_EARLY_1_3"
50,"12-Jun-90_EARLY_1",1990-06-12,163,"Black Guillemot","BLGU","waterbird",8,10:47:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","other","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,48,TRUE,"12-Jun-90_EARLY_1_3"
51,"12-Jun-90_EARLY_1",1990-06-12,163,"Semipalmated Sandpiper","SESA","shorebird",2,10:47:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,824,TRUE,"12-Jun-90_EARLY_1_3"
52,"12-Jun-90_EARLY_1",1990-06-12,163,"Black Guillemot","BLGU","waterbird",3,10:55:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","other","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,49,TRUE,"12-Jun-90_EARLY_1_3"
53,"12-Jun-90_EARLY_1",1990-06-12,163,"Common Eider","COEI","waterbird",3,10:55:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,1016,TRUE,"12-Jun-90_EARLY_1_3"
54,"12-Jun-90_EARLY_1",1990-06-12,163,"Common Loon","COLO","waterbird",1,10:55:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,170,TRUE,"12-Jun-90_EARLY_1_3"
55,"12-Jun-90_EARLY_1",1990-06-12,163,"Glaucous Gull","GLGU","waterbird",2,11:01:00,66,2,132,23.15,"nest","displaying","","LeeJohn Meyook, Colin Gordon","gull","12-Jun-90","EARLY",1990,6,12,1,3,09:55:00,11:01:00,225,TRUE,"12-Jun-90_EARLY_1_3"
56,"19-Jun-90_LATE_2",1990-06-19,170,"Lapland Longspur","LALO","passerine",1,15:04:00,51,1,51,27.2,"","displaying","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,333,FALSE,"19-Jun-90_LATE_2_1"
57,"19-Jun-90_LATE_2",1990-06-19,170,"Common Eider","COEI","waterbird",3,15:04:00,51,1,51,27.2,"","","","Frank Elanik","duck","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,98,FALSE,"19-Jun-90_LATE_2_1"
58,"19-Jun-90_LATE_2",1990-06-19,170,"Red-necked Phalarope","RNPL","shorebird",2,15:06:00,51,1,51,27.2,"","","","Frank Elanik","shorebird","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,664,FALSE,"19-Jun-90_LATE_2_1"
59,"19-Jun-90_LATE_2",1990-06-19,170,"Black Guillemot","BLGU","waterbird",2,15:08:00,51,1,51,27.2,"","","","Frank Elanik","other","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,42,FALSE,"19-Jun-90_LATE_2_1"
60,"19-Jun-90_LATE_2",1990-06-19,170,"Cliff Swallow","CLSW","passerine",2,15:08:00,51,1,51,27.2,"","","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,94,FALSE,"19-Jun-90_LATE_2_1"
61,"19-Jun-90_LATE_2",1990-06-19,170,"Hoary Redpoll","HORE","passerine",2,15:10:00,51,1,51,27.2,"","singing","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,282,FALSE,"19-Jun-90_LATE_2_1"
62,"19-Jun-90_LATE_2",1990-06-19,170,"Snow Bunting","SNBU","passerine",1,15:10:00,51,1,51,27.2,"","","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,864,FALSE,"19-Jun-90_LATE_2_1"
63,"19-Jun-90_LATE_2",1990-06-19,170,"Semipalmated Plover","SEPL","shorebird",2,15:12:00,51,1,51,27.2,"nest: 3 eggs","distractive display","","Frank Elanik","shorebird","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,747,FALSE,"19-Jun-90_LATE_2_1"
64,"19-Jun-90_LATE_2",1990-06-19,170,"Hoary Redpoll","HORE","passerine",1,15:14:00,51,1,51,27.2,"","","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,283,FALSE,"19-Jun-90_LATE_2_1"
65,"19-Jun-90_LATE_2",1990-06-19,170,"Lapland Longspur","LALO","passerine",1,15:14:00,51,1,51,27.2,"","displaying","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,337,FALSE,"19-Jun-90_LATE_2_1"
66,"19-Jun-90_LATE_2",1990-06-19,170,"Lapland Longspur","LALO","passerine",1,15:15:00,51,1,51,27.2,"","displaying","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,338,FALSE,"19-Jun-90_LATE_2_1"
67,"19-Jun-90_LATE_2",1990-06-19,170,"Semipalmated Plover","SEPL","shorebird",1,15:15:00,51,1,51,27.2,"","","","Frank Elanik","shorebird","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,748,FALSE,"19-Jun-90_LATE_2_1"
68,"19-Jun-90_LATE_2",1990-06-19,170,"Semipalmated Plover","SEPL","shorebird",8,15:16:00,51,1,51,27.2,"","","","Frank Elanik","shorebird","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,749,FALSE,"19-Jun-90_LATE_2_1"
69,"19-Jun-90_LATE_2",1990-06-19,170,"ptarmigan sp.","PTAR",NA,1,15:18:00,51,1,51,27.2,"","","","Frank Elanik","other","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,993,FALSE,"19-Jun-90_LATE_2_1"
70,"19-Jun-90_LATE_2",1990-06-19,170,"Semipalmated Plover","SEPL","shorebird",4,15:20:00,51,1,51,27.2,"","","","Frank Elanik","shorebird","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,750,FALSE,"19-Jun-90_LATE_2_1"
71,"19-Jun-90_LATE_2",1990-06-19,170,"Lapland Longspur","LALO","passerine",1,15:21:00,51,1,51,27.2,"","singing","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,1,15:00:00,15:51:00,339,FALSE,"19-Jun-90_LATE_2_1"
72,"19-Jun-90_LATE_2",1990-06-19,170,"Lesser Yellowlegs","LEYE","shorebird",1,15:24:00,51,1,51,27.2,"","","","Frank Elanik","shorebird","19-Jun-90","LATE",1990,6,19,2,2,15:00:00,15:51:00,534,FALSE,"19-Jun-90_LATE_2_2"
73,"19-Jun-90_LATE_2",1990-06-19,170,"Semipalmated Plover","SEPL","shorebird",2,15:25:00,51,1,51,27.2,"","","","Frank Elanik","shorebird","19-Jun-90","LATE",1990,6,19,2,2,15:00:00,15:51:00,759,FALSE,"19-Jun-90_LATE_2_2"
74,"19-Jun-90_LATE_2",1990-06-19,170,"Hoary Redpoll","HORE","passerine",1,15:31:00,51,1,51,27.2,"","","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,2,15:00:00,15:51:00,285,FALSE,"19-Jun-90_LATE_2_2"
75,"19-Jun-90_LATE_2",1990-06-19,170,"Lapland Longspur","LALO","passerine",1,15:32:00,51,1,51,27.2,"","displaying","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,2,15:00:00,15:51:00,411,FALSE,"19-Jun-90_LATE_2_2"
76,"19-Jun-90_LATE_2",1990-06-19,170,"Lapland Longspur","LALO","passerine",1,15:33:00,51,1,51,27.2,"","","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,2,15:00:00,15:51:00,412,FALSE,"19-Jun-90_LATE_2_2"
77,"19-Jun-90_LATE_2",1990-06-19,170,"Common Eider","COEI","waterbird",2,15:38:00,51,1,51,27.2,"","","","Frank Elanik","duck","19-Jun-90","LATE",1990,6,19,2,3,15:00:00,15:51:00,121,FALSE,"19-Jun-90_LATE_2_3"
78,"19-Jun-90_LATE_2",1990-06-19,170,"Semipalmated Plover","SEPL","shorebird",2,15:41:00,51,1,51,27.2,"","","","Frank Elanik","shorebird","19-Jun-90","LATE",1990,6,19,2,3,15:00:00,15:51:00,761,FALSE,"19-Jun-90_LATE_2_3"
79,"19-Jun-90_LATE_2",1990-06-19,170,"Semipalmated Plover","SEPL","shorebird",2,15:45:00,51,1,51,27.2,"","","","Frank Elanik","shorebird","19-Jun-90","LATE",1990,6,19,2,3,15:00:00,15:51:00,762,FALSE,"19-Jun-90_LATE_2_3"
80,"19-Jun-90_LATE_2",1990-06-19,170,"Cliff Swallow","CLSW","passerine",1,15:48:00,51,1,51,27.2,"","","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,3,15:00:00,15:51:00,95,FALSE,"19-Jun-90_LATE_2_3"
81,"19-Jun-90_LATE_2",1990-06-19,170,"Lesser Scaup","LESC","waterbird",1,15:49:00,51,1,51,27.2,"","","","Frank Elanik","duck","19-Jun-90","LATE",1990,6,19,2,3,15:00:00,15:51:00,527,FALSE,"19-Jun-90_LATE_2_3"
82,"19-Jun-90_LATE_2",1990-06-19,170,"Semipalmated Plover","SEPL","shorebird",1,15:50:00,51,1,51,27.2,"","","","Frank Elanik","shorebird","19-Jun-90","LATE",1990,6,19,2,3,15:00:00,15:51:00,764,FALSE,"19-Jun-90_LATE_2_3"
83,"19-Jun-90_LATE_2",1990-06-19,170,"Lapland Longspur","LALO","passerine",1,15:51:00,51,1,51,27.2,"","displaying","","Frank Elanik","passerine","19-Jun-90","LATE",1990,6,19,2,3,15:00:00,15:51:00,481,FALSE,"19-Jun-90_LATE_2_3"
84,"22-Jun-90_LATE_3",1990-06-22,173,"Red-necked Phalarope","RNPL","shorebird",1,11:55:00,85,1,85,25.5,"","","weather:  E 25 - 0 - 09 - 101 kph","Victor Allen","shorebird","22-Jun-90","LATE",1990,6,22,3,1,11:45:00,13:10:00,661,FALSE,"22-Jun-90_LATE_3_1"
85,"22-Jun-90_LATE_3",1990-06-22,173,"Lapland Longspur","LALO","passerine",2,12:06:00,85,1,85,25.5,"","","","Victor Allen","passerine","22-Jun-90","LATE",1990,6,22,3,1,11:45:00,13:10:00,320,FALSE,"22-Jun-90_LATE_3_1"
86,"22-Jun-90_LATE_3",1990-06-22,173,"Lesser Yellowlegs","LEYE","shorebird",2,12:15:00,85,1,85,25.5,"","","","Victor Allen","shorebird","22-Jun-90","LATE",1990,6,22,3,1,11:45:00,13:10:00,530,FALSE,"22-Jun-90_LATE_3_1"
87,"22-Jun-90_LATE_3",1990-06-22,173,"Snow Bunting","SNBU","passerine",2,12:18:00,85,1,85,25.5,"","","","Victor Allen","passerine","22-Jun-90","LATE",1990,6,22,3,1,11:45:00,13:10:00,862,FALSE,"22-Jun-90_LATE_3_1"
88,"22-Jun-90_LATE_3",1990-06-22,173,"Lapland Longspur","LALO","passerine",4,12:25:00,85,1,85,25.5,"","","","Victor Allen","passerine","22-Jun-90","LATE",1990,6,22,3,1,11:45:00,13:10:00,321,FALSE,"22-Jun-90_LATE_3_1"
89,"22-Jun-90_LATE_3",1990-06-22,173,"Common Raven","CORA",NA,1,12:30:00,85,1,85,25.5,"","","","Victor Allen","other","22-Jun-90","LATE",1990,6,22,3,1,11:45:00,13:10:00,181,FALSE,"22-Jun-90_LATE_3_1"
90,"22-Jun-90_LATE_3",1990-06-22,173,"Lesser Yellowlegs","LEYE","shorebird",2,12:38:00,85,1,85,25.5,"","","","Victor Allen","shorebird","22-Jun-90","LATE",1990,6,22,3,1,11:45:00,13:10:00,531,FALSE,"22-Jun-90_LATE_3_1"
