observation.date,common.name,observation.count,juvenile.count,egg.count,phenological.stage,unclear how many eggs,problematic,breed,behaviour,notes,age.sex,breeding.code,breeding.category,behavior.code,breeding.possibility,sampling.time,survey.id,doy,spec.code,time,num.observers,sampling.effort,effort.multiplier,observers,date,period,year,month,day,survey.num,transect,start.time,end.time,rec.num,end.time.filled,transect.id,scientific.name,locality,protocol.type
1996-06-09,Black Guillemot,2,NA,NA,breeding,NA,NA,,,breeding by creek along cove,NA,NA,NA,NA,NA,95,9-Jun-96_EARLY_2,161,BLGU,15:40:00,2,190,20.25,"LeeJohn Meyook, Richard Gordon",09-Jun-96,EARLY,1996,6,9,2,3,14:30:00,16:05:00,1161,FALSE,9-Jun-96_EARLY_2_3,NA,NA,NA
1996-06-09,Hoary Redpoll,2,NA,NA,nest_building,NA,NA,,nest building,building a nest on pallets in front of tin warehouses,NA,NA,NA,NA,NA,95,9-Jun-96_EARLY_2,161,HORE,15:50:00,2,190,20.25,"LeeJohn Meyook, Richard Gordon",09-Jun-96,EARLY,1996,6,9,2,3,14:30:00,16:05:00,1162,FALSE,9-Jun-96_EARLY_2_3,NA,NA,NA
1996-06-09,Glaucous Gull,2,0,3,nest_w_eggs,NA,NA,nest: 3 eggs,,Simpson Point defending their nest - 3 eggs,NA,NA,NA,NA,NA,95,9-Jun-96_EARLY_2,161,GLGU,16:00:00,2,190,20.25,"LeeJohn Meyook, Richard Gordon",09-Jun-96,EARLY,1996,6,9,2,3,14:30:00,16:05:00,1164,FALSE,9-Jun-96_EARLY_2_3,NA,NA,NA
1996-07-01,Snow Bunting,2,NA,NA,nest,NA,NA,,carrying food to nest,,NA,NA,NA,NA,NA,95,1-Jul-96_LATE_3,183,SNBU,14:46:00,2,190,20.25,"LeeJohn Meyook, Richard Gordon",01-Jul-96,LATE,1996,7,1,3,1,14:30:00,16:05:00,1176,FALSE,1-Jul-96_LATE_3_1,NA,NA,NA
1996-07-01,Red-necked Phalarope,1,0,3,nest_w_eggs,NA,NA,nest: 3 eggs,,3 eggs in nest east of Mission House,NA,NA,NA,NA,NA,95,1-Jul-96_LATE_3,183,RNPL,14:55:00,2,190,20.25,"LeeJohn Meyook, Richard Gordon",01-Jul-96,LATE,1996,7,1,3,1,14:30:00,16:05:00,1186,FALSE,1-Jul-96_LATE_3_1,NA,NA,NA
1996-07-01,Long-tailed Jaeger,2,NA,NA,nest,NA,NA,nest,,"1 sitting on nest, 1 feeding on a lemming",NA,NA,NA,NA,NA,95,1-Jul-96_LATE_3,183,LTJA,14:58:00,2,190,20.25,"LeeJohn Meyook, Richard Gordon",01-Jul-96,LATE,1996,7,1,3,1,14:30:00,16:05:00,1188,FALSE,1-Jul-96_LATE_3_1,NA,NA,NA
1996-07-01,Semipalmated Sandpiper,1,NA,NA,nest,NA,NA,,,around nest by ice houses,NA,NA,NA,NA,NA,95,1-Jul-96_LATE_3,183,SESA,15:33:00,2,190,20.25,"LeeJohn Meyook, Richard Gordon",01-Jul-96,LATE,1996,7,1,3,3,14:30:00,16:05:00,1205,FALSE,1-Jul-96_LATE_3_3,NA,NA,NA
1996-07-01,Common Eider,1,NA,NA,nest,NA,NA,,perched,sitting on nest by sauna,NA,NA,NA,NA,NA,95,1-Jul-96_LATE_3,183,COEI,15:52:00,2,190,20.25,"LeeJohn Meyook, Richard Gordon",01-Jul-96,LATE,1996,7,1,3,3,14:30:00,16:05:00,1212,FALSE,1-Jul-96_LATE_3_3,NA,NA,NA
1996-07-01,Common Eider,1,NA,NA,nest,NA,NA,,perched,sitting on nest,NA,NA,NA,NA,NA,95,1-Jul-96_LATE_3,183,COEI,16:01:00,2,190,20.25,"LeeJohn Meyook, Richard Gordon",01-Jul-96,LATE,1996,7,1,3,3,14:30:00,16:05:00,1216,FALSE,1-Jul-96_LATE_3_3,NA,NA,NA
1996-07-01,Glaucous Gull,4,1,NA,nest_w_chicks,NA,NA,nest / young,,"1 nest at Simpson Point, 1 hatching",NA,NA,NA,NA,NA,95,1-Jul-96_LATE_3,183,GLGU,16:04:00,2,190,20.25,"LeeJohn Meyook, Richard Gordon",01-Jul-96,LATE,1996,7,1,3,3,14:30:00,16:05:00,1217,FALSE,1-Jul-96_LATE_3_3,NA,NA,NA
1997-06-30,Long-tailed Jaeger,2,0,2,nest_w_eggs,NA,NA,nest: 2 eggs,,"protecting nest, 2 eggs, singing",NA,NA,NA,NA,NA,132,30-Jun-97_LATE_2,181,LTJA,11:14:00,2,264,16.55,"Colin Gordon, Richard Gordon",30-Jun-97,LATE,1997,6,30,2,2,10:27:00,12:39:00,1244,FALSE,30-Jun-97_LATE_2_2,NA,NA,NA
1997-06-30,Common Eider,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,spooked 4 eggs,NA,NA,NA,NA,NA,132,30-Jun-97_LATE_2,181,COEI,11:17:00,2,264,16.55,"Colin Gordon, Richard Gordon",30-Jun-97,LATE,1997,6,30,2,2,10:27:00,12:39:00,1246,FALSE,30-Jun-97_LATE_2_2,NA,NA,NA
1997-06-30,Semipalmated Sandpiper,2,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,singing,"spooked, 4 eggs, singing",NA,NA,NA,NA,NA,132,30-Jun-97_LATE_2,181,SESA,11:40:00,2,264,16.55,"Colin Gordon, Richard Gordon",30-Jun-97,LATE,1997,6,30,2,3,10:27:00,12:39:00,1252,FALSE,30-Jun-97_LATE_2_3,NA,NA,NA
1997-06-30,Glaucous Gull,3,0,2,nest_w_eggs,NA,NA,nest: 2 eggs,,"protecting nest, 2 eggs",NA,NA,NA,NA,NA,132,30-Jun-97_LATE_2,181,GLGU,12:25:00,2,264,16.55,"Colin Gordon, Richard Gordon",30-Jun-97,LATE,1997,6,30,2,3,10:27:00,12:39:00,1275,FALSE,30-Jun-97_LATE_2_3,NA,NA,NA
1998-06-06,Red-throated Loon,2,NA,NA,nest,NA,NA,,,nesting area in large pond,NA,NA,NA,NA,NA,79,6-Jun-98_EARLY_1,157,RTLO,15:32:00,2,158,21.85,"LeeJohn Meyook, Frank Elanik",06-Jun-98,EARLY,1998,6,6,1,1,15:26:00,16:45:00,1314,FALSE,6-Jun-98_EARLY_1_1,NA,NA,NA
1999-06-09,Ivory Gull,1,NA,NA,other,NA,NA,,"on ice, then flushed",,NA,NA,NA,NA,NA,107,9-Jun-99_EARLY_1,160,IVGU,NA,2,214,19.05,"Liz Gordon, Andy Tardif",09-Jun-99,EARLY,1999,6,9,1,1,9:51:00,11:38:00,287,TRUE,9-Jun-99_EARLY_1_1,NA,NA,NA
1999-06-09,Short-eared Owl,1,NA,NA,other,NA,NA,,In flight after being flushed,,NA,NA,NA,NA,NA,107,9-Jun-99_EARLY_1,160,SEOW,NA,2,214,19.05,"Liz Gordon, Andy Tardif",09-Jun-99,EARLY,1999,6,9,1,1,9:51:00,11:38:00,738,TRUE,9-Jun-99_EARLY_1_1,NA,NA,NA
1999-06-09,Lapland Longspur,1,NA,NA,other,NA,NA,,male flushed,,NA,NA,NA,NA,NA,107,9-Jun-99_EARLY_1,160,LALO,NA,2,214,19.05,"Liz Gordon, Andy Tardif",09-Jun-99,EARLY,1999,6,9,1,2,9:51:00,11:38:00,461,TRUE,9-Jun-99_EARLY_1_2,NA,NA,NA
1999-06-09,Lapland Longspur,1,NA,NA,other,NA,NA,,,flushed,NA,NA,NA,NA,NA,107,9-Jun-99_EARLY_1,160,LALO,NA,2,214,19.05,"Liz Gordon, Andy Tardif",09-Jun-99,EARLY,1999,6,9,1,2,9:51:00,11:38:00,462,TRUE,9-Jun-99_EARLY_1_2,NA,NA,NA
1999-06-09,Glaucous Gull,2,0,3,nest_w_eggs,NA,NA,nest: 3 eggs,,flushed (3 pics of eggs),NA,NA,NA,NA,NA,107,9-Jun-99_EARLY_1,160,GLGU,NA,2,214,19.05,"Liz Gordon, Andy Tardif",09-Jun-99,EARLY,1999,6,9,1,3,9:51:00,11:38:00,249,TRUE,9-Jun-99_EARLY_1_3,NA,NA,NA
1999-06-09,Lapland Longspur,1,NA,NA,other,NA,NA,,,flushed,NA,NA,NA,NA,NA,107,9-Jun-99_EARLY_1,160,LALO,NA,2,214,19.05,"Liz Gordon, Andy Tardif",09-Jun-99,EARLY,1999,6,9,1,3,9:51:00,11:38:00,511,TRUE,9-Jun-99_EARLY_1_3,NA,NA,NA
1999-06-09,Semipalmated Sandpiper,1,NA,NA,other,NA,NA,,,flushed,NA,NA,NA,NA,NA,107,9-Jun-99_EARLY_1,160,SESA,NA,2,214,19.05,"Liz Gordon, Andy Tardif",09-Jun-99,EARLY,1999,6,9,1,3,9:51:00,11:38:00,840,TRUE,9-Jun-99_EARLY_1_3,NA,NA,NA
1999-06-09,Snow Bunting,2,NA,NA,other,NA,NA,,,flushed,NA,NA,NA,NA,NA,107,9-Jun-99_EARLY_1,160,SNBU,NA,2,214,19.05,"Liz Gordon, Andy Tardif",09-Jun-99,EARLY,1999,6,9,1,3,9:51:00,11:38:00,915,TRUE,9-Jun-99_EARLY_1_3,NA,NA,NA
1999-06-29,Lesser Scaup,10,NA,NA,other,NA,NA,,,flushed from the beach,NA,NA,NA,NA,NA,70,29-Jun-99_LATE_2,180,LESC,10:22:00,2,140,22.75,"Frank Elanik, Ricky Joe",29-Jun-99,LATE,1999,6,29,2,3,9:25:00,10:35:00,528,TRUE,29-Jun-99_LATE_2_3,NA,NA,NA
1999-06-29,Northern Pintail,4,NA,NA,other,NA,NA,,,flushed  ,NA,NA,NA,NA,NA,70,29-Jun-99_LATE_2,180,NOPI,10:31:00,2,140,22.75,"Frank Elanik, Ricky Joe",29-Jun-99,LATE,1999,6,29,2,3,9:25:00,10:35:00,611,TRUE,29-Jun-99_LATE_2_3,NA,NA,NA
2000-06-09,Glaucous Gull,2,NA,1,nest_w_eggs,"not sure how to handle ""1 of 3 nests""",Y,nest,,egg in nest - 1 of 3 nests,NA,NA,NA,NA,NA,124,9-Jun-00_EARLY_1,161,GLGU,14:10:00,2,248,17.35,"Frank Elanik, Andy Tardif",09-Jun-00,EARLY,2000,6,9,1,3,12:06:00,14:10:00,248,TRUE,9-Jun-00_EARLY_1_3,NA,NA,NA
2000-06-29,Common Eider,1,NA,NA,nest,NA,NA,nest,,female on nest,NA,NA,NA,NA,NA,86,29-Jun-00_LATE_2,181,COEI,11:16:00,2,172,21.15,"Ricky Joe, Pierre Foisy",29-Jun-00,LATE,2000,6,29,2,3,9:51:00,11:17:00,138,TRUE,29-Jun-00_LATE_2_3,NA,NA,NA
2000-06-29,Common Eider,3,NA,NA,nest,NA,NA,nest,,"females, one on nest",NA,NA,NA,NA,NA,86,29-Jun-00_LATE_2,181,COEI,11:17:00,2,172,21.15,"Ricky Joe, Pierre Foisy",29-Jun-00,LATE,2000,6,29,2,3,9:51:00,11:17:00,140,TRUE,29-Jun-00_LATE_2_3,NA,NA,NA
2001-06-29,Glaucous Gull,2,NA,NA,nest,NA,NA,,nest area (pond),,NA,NA,NA,NA,NA,64,29-Jun-01_LATE_2,180,GLGU,10:57:00,2,128,23.35,"Frank Elanik, Ricky Joe",29-Jun-01,LATE,2001,6,29,2,1,10:53:00,11:57:00,214,TRUE,29-Jun-01_LATE_2_1,NA,NA,NA
2001-06-29,Common Redpoll,2,NA,NA,other,NA,NA,nesting behaviour (feather in beak),,,NA,NA,NA,NA,NA,64,29-Jun-01_LATE_2,180,CORE,11:11:00,2,128,23.35,"Frank Elanik, Ricky Joe",29-Jun-01,LATE,2001,6,29,2,1,10:53:00,11:57:00,189,TRUE,29-Jun-01_LATE_2_1,NA,NA,NA
2002-06-09,Glaucous Gull,2,0,2,nest_w_eggs,NA,NA,nest: 2 eggs,,1M 1F,NA,NA,NA,NA,NA,51,9-Jun-02_EARLY_1,160,GLGU,11:00:00,2,102,24.65,"Ricky Joe, Andy Tardif",09-Jun-02,EARLY,2002,6,9,1,3,10:09:00,11:00:00,233,TRUE,9-Jun-02_EARLY_1_3,NA,NA,NA
2003-06-09,Lapland Longspur,1,NA,NA,other,NA,NA,,,flushed longspur,NA,NA,NA,NA,NA,204,9-Jun-03_EARLY_1,160,LALO,14:59:00,2,408,9.35,"Colin Gordon, Andy Tardif",09-Jun-03,EARLY,2003,6,9,1,2,14:59:00,18:23:00,437,TRUE,9-Jun-03_EARLY_1_2,NA,NA,NA
2003-06-09,Lapland Longspur,1,NA,NA,no_nest,NA,NA,,,"flushed, no nest, female",NA,NA,NA,NA,NA,204,9-Jun-03_EARLY_1,160,LALO,17:03:00,2,408,9.35,"Colin Gordon, Andy Tardif",09-Jun-03,EARLY,2003,6,9,1,2,14:59:00,18:23:00,444,TRUE,9-Jun-03_EARLY_1_2,NA,NA,NA
2003-06-09,Lapland Longspur,1,NA,NA,no_nest,NA,NA,,,"flushed, no nest, female",NA,NA,NA,NA,NA,204,9-Jun-03_EARLY_1,160,LALO,17:05:00,2,408,9.35,"Colin Gordon, Andy Tardif",09-Jun-03,EARLY,2003,6,9,1,2,14:59:00,18:23:00,445,TRUE,9-Jun-03_EARLY_1_2,NA,NA,NA
2003-06-09,Lapland Longspur,1,NA,NA,no_nest,NA,NA,,,"flushed, no nest, female",NA,NA,NA,NA,NA,204,9-Jun-03_EARLY_1,160,LALO,17:08:00,2,408,9.35,"Colin Gordon, Andy Tardif",09-Jun-03,EARLY,2003,6,9,1,2,14:59:00,18:23:00,448,TRUE,9-Jun-03_EARLY_1_2,NA,NA,NA
2003-06-09,Glaucous Gull,1,0,2,nest_w_eggs,NA,NA,nest: 2 eggs,,N138 55 41.7 W69 34.086,NA,NA,NA,NA,NA,204,9-Jun-03_EARLY_1,160,GLGU,18:07:00,2,408,9.35,"Colin Gordon, Andy Tardif",09-Jun-03,EARLY,2003,6,9,1,3,14:59:00,18:23:00,243,TRUE,9-Jun-03_EARLY_1_3,NA,NA,NA
2003-06-09,Common Eider,1,NA,NA,empty_nest,See notes,Y,empty,,nest with 1 egg last night,NA,NA,NA,NA,NA,204,9-Jun-03_EARLY_1,160,COEI,18:15:00,2,408,9.35,"Colin Gordon, Andy Tardif",09-Jun-03,EARLY,2003,6,9,1,3,14:59:00,18:23:00,155,TRUE,9-Jun-03_EARLY_1_3,NA,NA,NA
2003-06-29,Lapland Longspur,1,NA,NA,nest,empty nest?,NA,,,female out of nest,NA,NA,NA,NA,NA,52,29-Jun-03_LATE_2,180,LALO,15:01:00,2,104,24.55,"Andy Tardif, LeeJohn Meyook",29-Jun-03,LATE,2003,6,29,2,3,14:22:00,15:14:00,493,TRUE,29-Jun-03_LATE_2_3,NA,NA,NA
2003-06-29,Common Eider,1,NA,NA,nest,NA,NA,nest,,female on nest,NA,NA,NA,NA,NA,52,29-Jun-03_LATE_2,180,COEI,15:09:00,2,104,24.55,"Andy Tardif, LeeJohn Meyook",29-Jun-03,LATE,2003,6,29,2,3,14:22:00,15:14:00,142,TRUE,29-Jun-03_LATE_2_3,NA,NA,NA
2003-06-29,Common Eider,1,NA,NA,nest,NA,NA,,,female on nest,NA,NA,NA,NA,NA,52,29-Jun-03_LATE_2,180,COEI,15:14:00,2,104,24.55,"Andy Tardif, LeeJohn Meyook",29-Jun-03,LATE,2003,6,29,2,3,14:22:00,15:14:00,144,TRUE,29-Jun-03_LATE_2_3,NA,NA,NA
2004-06-09,Lapland Longspur,1,0,5,nest_w_eggs,NA,NA,nest: 5 eggs,,flushed from nest,NA,NA,NA,NA,NA,66,9-Jun-04_EARLY_1,161,LALO,11:19:00,2,132,23.15,"LeeJohn Meyook, Leonard",09-Jun-04,EARLY,2004,6,9,1,1,11:00:00,12:06:00,355,TRUE,9-Jun-04_EARLY_1_1,NA,NA,NA
2004-06-09,Lapland Longspur,1,0,5,nest_w_eggs,NA,NA,nest: 5 eggs,,flushed from nest; 38 paces north of marker,NA,NA,NA,NA,NA,66,9-Jun-04_EARLY_1,161,LALO,11:27:00,2,132,23.15,"LeeJohn Meyook, Leonard",09-Jun-04,EARLY,2004,6,9,1,2,11:00:00,12:06:00,423,TRUE,9-Jun-04_EARLY_1_2,NA,NA,NA
2004-06-29,Common Eider,2,NA,NA,pre_nesting,NA,NA,,,wandering - looking for nest sites,NA,NA,NA,NA,NA,75,29-Jun-04_LATE_2,181,COEI,17:03:00,2,150,22.25,"LeeJohn Meyook, Leonard",29-Jun-04,LATE,2004,6,29,2,1,16:59:00,18:14:00,104,TRUE,29-Jun-04_LATE_2_1,NA,NA,NA
2004-06-29,Lapland Longspur,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,flushed from nest,NA,NA,NA,NA,NA,75,29-Jun-04_LATE_2,181,LALO,17:45:00,2,150,22.25,"LeeJohn Meyook, Leonard",29-Jun-04,LATE,2004,6,29,2,3,16:59:00,18:14:00,503,TRUE,29-Jun-04_LATE_2_3,NA,NA,NA
2005-06-08,Glaucous Gull,3,0,3,nest_w_eggs,note 2 nests,Y,2 nests: 3 eggs each,flying,"2 nests, 3 eggs each",NA,NA,NA,NA,NA,65,8-Jun-05_EARLY_1,159,GLGU,19:05:00,2,130,23.25,"Pierre Foisy, Jonas Meyook",08-Jun-05,EARLY,2005,6,8,1,3,17:00:00,18:05:00,15,FALSE,8-Jun-05_EARLY_1_3,NA,NA,NA
2005-06-29,Black Guillemot,1,NA,NA,other,NA,NA,,,beside nest box,NA,NA,NA,NA,NA,71,29-Jun-05_LATE_2,180,BLGU,19:39:00,2,142,22.65,"Pierre Foisy, Jonas Meyook",29-Jun-05,LATE,2005,6,29,2,1,19:30:00,20:41:00,45,FALSE,29-Jun-05_LATE_2_1,NA,NA,NA
2006-06-30,Semipalmated Sandpiper,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,displaying,,NA,NA,NA,NA,NA,76,30-Jun-06_LATE_2,181,SESA,15:08:00,2,152,22.15,"LeeJohn Meyook, Deon Arey",30-Jun-06,LATE,2006,6,30,2,1,15:06:00,16:22:00,806,FALSE,30-Jun-06_LATE_2_1,NA,NA,NA
2006-06-30,Common Eider,1,NA,NA,nest,NA,NA,nest,,,NA,NA,NA,NA,NA,76,30-Jun-06_LATE_2,181,COEI,15:24:00,2,152,22.15,"LeeJohn Meyook, Deon Arey",30-Jun-06,LATE,2006,6,30,2,2,15:06:00,16:22:00,109,FALSE,30-Jun-06_LATE_2_2,NA,NA,NA
2007-06-21,Semipalmated Sandpiper,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,singing,female singing and flying,NA,NA,NA,NA,NA,115,21-Jun-07_LATE-1_2,172,SESA,11:33:00,5,575,1,"LeeJohn Meyook, Pierre Foisy, Harry Elias, Dion Arey, Cameron Eckert",21-Jun-07,LATE,2007,6,21,2,1,11:30:00,13:25:00,1411,FALSE,21-Jun-07_LATE-1_2_1,NA,NA,NA
2007-06-21,Short-eared Owl,1,0,2,nest_w_eggs,NA,NA,nest: 2 eggs,flying,female flying,NA,NA,NA,NA,NA,115,21-Jun-07_LATE-1_2,172,SEOW,12:23:00,5,575,1,"LeeJohn Meyook, Pierre Foisy, Harry Elias, Dion Arey, Cameron Eckert",21-Jun-07,LATE,2007,6,21,2,2,11:30:00,13:25:00,1475,FALSE,21-Jun-07_LATE-1_2_2,NA,NA,NA
2008-06-29,Baird's Sandpiper,1,0,4,nest_w_eggs,NA,NA,nest: 4eggs,displaying,,NA,NA,NA,NA,NA,81,29-Jun-08_LATE_1,181,BASA,13:59:00,2,162,21.65,"LeeJohn Meyook, Colin Gordon",29-Jun-08,LATE,2008,6,29,1,3,12:42:00,14:03:00,1592,FALSE,29-Jun-08_LATE_1_3,NA,NA,NA
2009-06-09,Semipalmated Plover,1,NA,4,nest_w_eggs,NA,NA,nest: 4 eggs,,"on ground, cove area",NA,NA,NA,NA,NA,85,9-Jun-09_EARLY_1,160,SEPL,13:57:00,2,170,21.25,"LeeJohn Meyook, Samuel McLeod",09-Jun-09,EARLY,2009,6,9,1,3,12:50:00,14:15:00,37,FALSE,9-Jun-09_EARLY_1_3,NA,NA,NA
2009-06-29,Lapland Longspur,1,NA,NA,nest,NA,NA,nest,flying,,NA,NA,NA,NA,NA,66,29-Jun-09_LATE_2,180,LALO,16:33:00,2,132,23.15,"Pierre Foisy, Frank Doyle",29-Jun-09,LATE,2009,6,29,2,1,16:31:00,17:37:00,45,TRUE,29-Jun-09_LATE_2_1,NA,NA,NA
2009-06-29,Savannah Sparrow,2,NA,NA,nest,NA,NA,nest,,raw data written SASP,NA,NA,NA,NA,NA,66,29-Jun-09_LATE_2,180,SAVS,16:34:00,2,132,23.15,"Pierre Foisy, Frank Doyle",29-Jun-09,LATE,2009,6,29,2,1,16:31:00,17:37:00,46,TRUE,29-Jun-09_LATE_2_1,NA,NA,NA
2009-06-29,Semipalmated Sandpiper,1,3,0,nest_w_chicks,NA,NA,3 chicks,singing,"singing, flying",NA,NA,NA,NA,NA,66,29-Jun-09_LATE_2,180,SESA,16:39:00,2,132,23.15,"Pierre Foisy, Frank Doyle",29-Jun-09,LATE,2009,6,29,2,1,16:31:00,17:37:00,54,TRUE,29-Jun-09_LATE_2_1,NA,NA,NA
2009-06-29,Semipalmated Plover,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,raw data written SPPL,NA,NA,NA,NA,NA,66,29-Jun-09_LATE_2,180,SEPL,17:21:00,2,132,23.15,"Pierre Foisy, Frank Doyle",29-Jun-09,LATE,2009,6,29,2,3,16:31:00,17:37:00,86,FALSE,29-Jun-09_LATE_2_3,NA,NA,NA
2010-06-09,redpoll sp.,1,0,5,nest_w_eggs,NA,NA,NEST; 5eggs,flying,,NA,NA,NA,NA,NA,66,9-Jun-10_EARLY_1,160,REDP,14:33:00,1,66,26.45,LeeJohn Meyook,09-Jun-10,EARLY,2010,6,9,1,3,13:45:00,14:51:00,1489,TRUE,9-Jun-10_EARLY_1_3,NA,NA,NA
2010-06-29,redpoll sp.,1,NA,NA,nest,NA,NA,nest,nest,,NA,NA,NA,NA,NA,109,29-Jun-10_LATE_2,180,REDP,19:48:00,2,218,18.85,"Edward McLeod, Jeremy Hansen",29-Jun-10,LATE,2010,6,29,2,1,18:49:00,20:38:00,1504,TRUE,29-Jun-10_LATE_2_1,NA,NA,NA
2010-06-29,Lapland Longspur,2,1,0,nest_w_chicks,unsure number of chicks,Y,chick,singing,,NA,NA,NA,NA,NA,109,29-Jun-10_LATE_2,180,LALO,20:32:00,2,218,18.85,"Edward McLeod, Jeremy Hansen",29-Jun-10,LATE,2010,6,29,2,3,18:49:00,20:38:00,1528,TRUE,29-Jun-10_LATE_2_3,NA,NA,NA
2010-06-29,Lapland Longspur,1,1,0,nest_w_chicks,unsure number of chicks,Y,chick,singing,,NA,NA,NA,NA,NA,109,29-Jun-10_LATE_2,180,LALO,20:38:00,2,218,18.85,"Edward McLeod, Jeremy Hansen",29-Jun-10,LATE,2010,6,29,2,3,18:49:00,20:38:00,1531,TRUE,29-Jun-10_LATE_2_3,NA,NA,NA
2013-06-09,Northern Harrier,2,0,1,nest_w_eggs,NA,NA,nest: 1 egg,,,NA,NA,NA,NA,NA,85,9-Jun-23_EARLY_1,160,NOHA,13:56:00,3,255,17,"Edward McLeod, Samuel McLeod, Cameron Eckert",09-Jun-23,EARLY,2013,6,9,1,2,13:16:00,14:41:00,38,FALSE,9-Jun-23_EARLY_1_2,NA,NA,NA
2013-06-29,Baird's Sandpiper,2,1,0,nest_w_chicks,NA,NA,1 chick,displaying,1 chick,NA,NA,NA,NA,NA,75,29-Jun-13_LATE_2,180,BASA,15:29:00,2,150,22.25,"Edward McLeod, Samuel McLeod",29-Jun-13,LATE,2013,6,29,2,2,15:06:00,16:21:00,19,FALSE,29-Jun-13_LATE_2_2,NA,NA,NA
